,account_num,business_name,street_address,city,zip_code,location_start_date,location_end_date,lat,long
63,0003148819-0001-1,RADA HOSPITALITY LLC,2520 Hyperion Avenue,Los Angeles,90027,2019-08-13,,34.1048,-118.2727
64,0000871024-0001-0,OMALLEY CREADON PRODUCTIONS INC,4550 Kingswell Avenue,Los Angeles,90027,2002-02-01,,34.1026,-118.2884
65,0003153695-0001-6,UNDER NDA LLC,5109 Hollywood Blvd,Los Angeles,90027,2017-06-30,,34.102,-118.301
66,0002827362-0001-1,CAKE HOLE INC,11551 Santa Monica Blvd,Los Angeles,90025,2015-01-01,2020-07-01,34.0452184,-118.4534641
67,0002307492-0001-0,PAMPLE MOUSSE PRODUCTIONS INC.,11766 Wilshire Blvd Floor #9Th,Los Angeles,90025,2006-03-10,,34.0478,-118.4617
68,0003027690-0001-8,DELPHINE RENTALS LLC,2235 Hyperion Avenue,Los Angeles,90027,2017-01-01,,34.101,-118.2735
69,0003204427-0001-4,ENENSTEIN PHAM & GLASS LLP,12121 Wilshire Blvd Suite #600,Los Angeles,90025,2019-12-13,,34.044,-118.4682
70,0002583670-0001-2,"TWENTY FIVE SUPPLY, INC.",360 E Jefferson Blvd,Los Angeles,90011,2010-04-30,,34.016853,-118.268684
71,0000816306-0001-4,MICHELLE MARIE MORGAN,2044 1/2 N Vermont Avenue,Los Angeles,90027,1998-02-17,,34.1087,-118.2917
72,0002319808-0001-8,LARIOS BAKING INC,2206 S Central Avenue,Los Angeles,90011,2008-02-09,2019-09-01,34.02137,-118.25335
73,0000031205-0001-4,THE VILLAGE RECORDER,1616 Butler Avenue,Los Angeles,90025,1975-02-01,,34.045,-118.4515
74,0002593516-0001-6,ALL I GOT PRODUCTIONS INC,1932 N Kenmore Avenue,Los Angeles,90027,2010-01-01,,34.1073,-118.2972
75,0003150061-0001-6,LUIS F VELIZ,3814 1/2 Crawford Street,Los Angeles,90011,2016-01-01,,34.0121,-118.2705
76,0003153557-0001-2,TOMAS TAMAYO,5189 Alhambra Avenue,Los Angeles,90032,2019-10-07,,34.0735,-118.1729
77,0002588810-0001-3,"JEFFREY M. HUDSON, INC.",12100 Wilshire Blvd Suite #1500,Los Angeles,90025,2005-01-03,,34.0435,-118.4676
78,0000141782-0001-2,MOON COLLECTION INC,1565 E 23Rd Street,Los Angeles,90011,2003-11-01,2019-07-01,34.0168,-118.2465
79,0000362464-0001-1,TALENT R US INC,11100 Santa Monica Blvd Suite #400,Los Angeles,90025,1980-01-02,,34.0467,-118.4442
80,0003153417-0001-0,JOSE MANUEL CRUZ,4630 Bowman Blvd,Los Angeles,90032,2019-10-01,,34.0812,-118.1834
81,0003039488-0001-5,ENDLESS BLU INC,140 E Jefferson Blvd,Los Angeles,90011,2018-03-12,,34.0177,-118.2714
82,0002722983-0001-0,COLOSSAL LLC,11755 Wilshire Blvd Suite #1600,Los Angeles,90025,2013-11-01,,34.0489,-118.4622
83,0003128394-0001-4,JUSTIN K LANGSTAFF,2424 Lyric Avenue,Los Angeles,90027,2016-01-01,2018-09-23,34.10522,-118.2759
84,0003103784-0001-4,VENDO LLC,11601 Wilshire Blvd Suite #1818,Los Angeles,90025,2018-01-01,,34.0509,-118.46
85,0003164087-0001-6,BRIDGET UNDERWOOD,1749 N Harvard Blvd Unit #1,Los Angeles,90027,2017-11-30,,34.1032,-118.3054
86,0002173578-0001-2,EVERGREEN 5 PRODUCTIONS,1914 Fairburn Avenue,Los Angeles,90025,2004-08-25,,34.0532,-118.4259
87,0003150541-0001-0,SWISH YOU WERE HERE MUSIC LLC,4005 Guardia Avenue,Los Angeles,90032,2017-01-01,,34.0917,-118.1704
88,0003152011-0001-2,RIGHT ARM,3835 Ronda Vista Place,Los Angeles,90027,2018-04-11,,34.105,-118.2765
89,0000134105-0001-3,MICHAEL J ROSENBLATT MD APC,11645 Wilshire Blvd #1065,Los Angeles,90025,1984-06-01,2018-06-30,34.0504135,-118.4605281
90,0003150448-0001-3,GARFIELD MANAGEMENTSERVICES LLC,12100 Wilshire Blvd Suite #1400,Los Angeles,90025,2018-09-17,,34.0435,-118.4676
91,0002746569-0001-9,WAHOO LLC,12121 Wilshire Blvd Suite #801,Los Angeles,90025,2013-08-22,,34.044,-118.4682
92,0002663464-0001-3,"PALADIN FILMS, INC",1920 Hillhurst Avenue Suite #223,Los Angeles,90027,2013-01-01,,34.106,-118.2871
93,0002692344-0001-0,JOHN Q NGUYEN,1436 E Slauson Avenue,Los Angeles,90011,2012-11-01,2018-01-01,33.98932,-118.249214
94,0003151060-0001-9,MAVEN ARTISTS LLC,2141 Cyril Avenue,Los Angeles,90032,2018-09-18,,34.0684,-118.1835
95,0003150346-0001-6,JFP REGENT LLC,10600 Santa Monica Blvd,Los Angeles,90025,2019-01-01,,34.0533,-118.4293
96,0003151071-0001-7,LETICIA HURTADO,3820 Paloma Street,Los Angeles,90011,2019-09-01,,34.0112,-118.2615
97,0002053943-0001-3,RONALD ANTONIO GARCIA,4803 Converse Street,Los Angeles,90032,2003-03-01,2019-12-31,34.082787,-118.17971
98,0003155098-0001-5,VERONICA GUTIERREZ,725 E 55Th Street,Los Angeles,90011,2017-01-01,,33.9928,-118.2622
99,0003154407-0001-3,"LA CASA DEL REY, LLC",1516 N Hobart Blvd,Los Angeles,90027,2019-01-01,,34.0987,-118.3052
100,0002358131-0001-8,PEDRAM HASID,2050 S Bundy Drive Suite #210,Los Angeles,90025,2006-01-01,,34.033,-118.4542
101,0002789166-0001-0,DANNY WIMMER PRESENTS LLC,10350 Santa Monica Blvd Suite #130,Los Angeles,90025,2011-02-25,,34.0578,-118.4227
102,0000598825-0001-7,SARA ADLER,1927 Comstock Avenue,Los Angeles,90025,1987-09-01,,34.0549,-118.4216
103,0002511143-0001-5,MARIA PADILLA,1567 N Serrano Avenue,Los Angeles,90027,2008-01-01,2018-05-09,34.099697,-118.30709
104,0003153927-0001-4,CENTRAL AVENUE VILLAGE SQUARE PRESERVATION LP,1060 E 53Rd Street Unit #101,Los Angeles,90011,2019-10-01,,33.9941,-118.2716
105,0002465856-0004-0,PARKING MANAGEMENT SERVICES OF AMERICA INC,5419 W Sunset Blvd,Los Angeles,90027,2015-07-17,2019-09-30,34.0981,-118.3074
106,0002980579-0001-5,LIGHTBAY MANAGEMENT LLC,11601 Wilshire Blvd Suite #2150,Los Angeles,90025,2017-02-01,,34.050735,-118.4593
107,0002640596-0001-7,MARIE'S NAILS CORP,5020 Huntington Drive S,Los Angeles,90032,2012-10-15,,34.0882,-118.1731
108,0003149368-0001-1,"BIJOU APPAREL, INC.",196 E Jefferson Blvd,Los Angeles,90011,2019-09-13,,34.017,-118.2698
109,0003151003-0001-1,"STORYFIRE, INC.",1926 1/2 N Vermont Avenue,Los Angeles,90027,2019-01-01,,34.1057,-118.2914
110,0003154260-0001-7,01 DESIGNS,1570 E 23Rd Street,Los Angeles,90011,2019-10-01,,34.0169,-118.2472
111,0002674335-0001-2,"THE BLACKLIST, LLC",4628 Clarissa Avenue,Los Angeles,90027,2012-12-01,,34.1068,-118.2906
112,0003151179-0001-1,KHIAR ENTERPRISE LLC,4218 Monterey Road,Los Angeles,90032,2020-01-01,,34.0964,-118.1898
113,0002898750-0001-2,197 JEFFERSON LLC,197 E Jefferson Blvd,Los Angeles,90011,2016-02-05,,34.0175,-118.2695
114,0003153766-0001-8,STONE KALFUS LLP,12121 Wilshire Blvd Suite #810,Los Angeles,90025,2019-09-01,,34.044,-118.4682
115,0003152919-0001-2,U D CONSTRUCTION LLC,5248 Huntington Drive S,Los Angeles,90032,2019-10-03,,34.0893,-118.1677
116,0002811873-0001-0,ALGHANIM ENTERTAINMENT LLC,11766 Wilshire Blvd Floor #9Th,Los Angeles,90025,2014-05-22,,34.04855,-118.461975
117,0003152321-0001-1,"SPEAKEASY TATTOO, LLC",5078 Alhambra Avenue,Los Angeles,90032,2018-08-06,,34.071,-118.1753
118,0003046388-0001-1,SHARRA DUGGAN,5277 1/2 De Longpre Avenue,Los Angeles,90027,2014-01-01,,34.0967,-118.305
119,0003152353-0001-1,ACCEL COUNSELING CORPORATION,12304 Santa Monica Blvd Suite #327,Los Angeles,90025,2019-09-09,,34.0391,-118.4654
120,0003149870-0001-0,BACKYARD HOMES WEST LLC,12100 Wilshire Blvd Floor #8,Los Angeles,90025,2019-09-01,,34.0435,-118.4676
121,0000188282-0001-8,RONALD M PODELL MD,12301 Wilshire Blvd,Los Angeles,90025,1979-05-24,,34.0428,-118.4697
122,0000084879-0001-1,PATRICIA M HOWARD,1531 Purdue Avenue,Los Angeles,90025,2003-09-22,,34.0463,-118.4515
123,0002861211-0001-1,THE LITTLE COWBOY INC,3775 Tracy Street,Los Angeles,90027,2015-06-01,,34.1059,-118.2751
124,0003152053-0001-6,"CERTIFIED NANNIES OF AMERICA, LLC",12100 Wilshire Blvd Suite #8,Los Angeles,90025,2019-10-01,,34.0435,-118.4676
125,0003150384-0001-1,LETICIA SANCHEZ,122 E Jefferson Blvd,Los Angeles,90011,2019-09-20,,34.0174,-118.2706
126,0003152398-0001-8,WILBER TRUCKING INC,4872 Compton Avenue,Los Angeles,90011,2019-01-01,,33.9987,-118.2476
127,0002951651-0001-8,JUAN A CARO ALCALA,1441 E 56Th Street,Los Angeles,90011,2015-01-15,,33.9923,-118.249
128,0000208864-0001-3,CHARLES B WESSLER ENTERTAINMENT,11766 Wilshire Blvd Floor #9Th,Los Angeles,90025,1994-09-06,,34.0478,-118.4617
129,0003153640-0001-5,LUNA BOYD,5419 Hollywood Blvd Suite #C,Los Angeles,90027,2015-01-01,,34.1019,-118.3077
130,0000095146-0001-2,SOLAMERICA INC/ET AL,2121 Hillhurst Avenue,Los Angeles,90027,1993-10-21,2018-11-02,34.1105,-118.2874
131,0002902368-0001-4,MOLLY ROGERS,2014 Talmadge Street,Los Angeles,90027,2012-01-01,,34.1081,-118.2828
132,0003070212-0001-6,HEDID WOKE INC,4422 Franklin Avenue,Los Angeles,90027,2018-01-30,,34.1053,-118.286
133,0000446957-0040-4,ROSS DRESS FOR LESS INC,4322 S Central Avenue,Los Angeles,90011,2019-09-26,,34.0051,-118.2558
134,0002992321-0001-5,WILLIAM GIRON AGUILAR,1187 E 58Th Street,Los Angeles,90011,2017-04-25,2018-01-01,33.990185,-118.25435
135,0002549384-0001-8,KILLER RANGE INC,11150 Santa Monica Blvd Suite #600,Los Angeles,90025,2011-01-01,,34.0462,-118.4445
136,0002560134-0001-1,ANGELA L ROSEN,2019 Thayer Avenue,Los Angeles,90025,2011-02-15,2018-06-30,34.051228,-118.42509
137,0002901834-0001-9,L'AMOUR MERE LLC,11766 Wilshire Blvd Floor #9Th,Los Angeles,90025,2015-05-18,,34.0478,-118.4617
138,0003152973-0001-7,MIRELDA BENITEZ,859 1/2 E 29Th Street,Los Angeles,90011,2019-01-05,,34.0177,-118.2599
139,0002942877-0001-0,WANDERING WORLD PRODUCTIONS INC,1954 Heidleman Road,Los Angeles,90032,2016-10-01,,34.0657,-118.1747
140,0003153706-0001-6,CHARLES ANTOSCA,1666 Lyman Place,Los Angeles,90027,2017-05-29,,34.1012,-118.2884
141,0002012821-0001-6,ADAMS PROPERTY GROUP LLC,1245 E 40Th Place,Los Angeles,90011,2004-01-01,2019-04-30,34.010212,-118.25315
142,0002532240-0001-0,SHANNON LEAH FINNESY,1821 N Mariposa Avenue,Los Angeles,90027,2010-06-01,,34.1041,-118.2998
143,0002641468-0001-4,LELAH SIMON,1814 N Edgemont Street,Los Angeles,90027,2012-01-01,,34.104,-118.2958
144,0003154112-0001-0,LA GUERITA INC,1682 E Vernon Avenue,Los Angeles,90011,2019-10-20,,34.0037,-118.2438
145,0003153679-0001-7,FUTURE IMAGE SOLUTIONS LLC,5109 Hollywood Blvd,Los Angeles,90027,2017-07-03,,34.102,-118.301
146,0002296803-0002-7,OGANES MARTIKIAN,1324 N Kingsley Drive,Los Angeles,90027,2017-06-01,2018-04-10,34.09573,-118.30313
147,0002839911-0001-8,"STREET PARKING, INC.",1607 Talmadge Street,Los Angeles,90027,2015-03-05,,34.1003,-118.2833
148,0000689496-0001-1,FOUNTAINHEAD DESIGN INC,4644 Huntington Drive S,Los Angeles,90032,2002-11-01,,34.0851,-118.1849
149,0002495558-0001-9,BIG PINK INC,2229 N Berendo Street,Los Angeles,90027,2010-01-15,,34.1115,-118.2948
150,0002831283-0001-7,REALITY CHURCH OF LOS ANGELES,1313 N Edgemont Street,Los Angeles,90027,2007-01-01,,34.096,-118.2964
151,0003151899-0001-6,ANGELES CLINIC HOLDINGS LLC,11800 Wilshire Blvd,Los Angeles,90025,2019-04-01,,34.0476,-118.4626
152,0003085880-0001-4,EBENEZER RECYCLING CENTER NO. 2,239 E 53Rd Street,Los Angeles,90011,2018-11-19,2018-11-19,33.994244,-118.27138
153,0002586931-0001-9,TREVANNA POST INC,11833 Mississippi Avenue Floor #1St,Los Angeles,90025,2010-07-06,,34.0343,-118.4518
154,0003026107-0001-9,ARI AROM,2526 Hyperion Avenue Unit #3,Los Angeles,90027,2018-01-15,2019-09-27,34.10525,-118.2729
155,0003204428-0001-9,OAK TREE COMICS LLC,1840 N Kenmore Avenue Apt #318,Los Angeles,90027,2020-06-20,,34.1046,-118.297
156,0003153963-0001-1,LUIS SALGADO,3719 Crawford Street,Los Angeles,90011,2017-01-01,,34.0143,-118.2695
157,0003033818-0001-9,JOHNNY ECHO ECHO INC.,2525 Hyperion Avenue,Los Angeles,90027,2017-05-19,,34.1051,-118.2734
158,0002993463-0001-4,KEVIN SPRAGUE,1285 Barry Avenue Unit #203,Los Angeles,90025,2016-01-01,,34.0479,-118.4586
159,0003151186-0001-1,MILLER DISTRIBUTION LLC,1901 N Commonwealth Avenue Unit #11,Los Angeles,90027,2018-07-01,,34.1056,-118.2856
160,0003149355-0001-4,JORGE PLASENCIA,3709 Winchester Avenue,Los Angeles,90032,2019-09-01,,34.088,-118.1607
161,0002688494-0001-3,WIZ KHALIFA TRADEMARK LLC,11766 Wilshire Blvd Suite #500,Los Angeles,90025,2011-04-25,,34.0478,-118.4617
162,0000774282-0001-5,CREATIVE CINEMATOGRAPHY INC,2046 Hillhurst Avenue Unit #122,Los Angeles,90027,2001-01-01,,34.109,-118.2873
163,0003049793-0001-7,MARTHA MENA,4822 Compton Avenue,Los Angeles,90011,2018-03-12,,33.9995,-118.2474
164,0003151076-0001-0,CHONKY TONK ENTERTAINMENT INC,1606 Myra Avenue,Los Angeles,90027,2019-08-19,,34.1003,-118.2802
165,0003151503-0001-1,SOPHIA REPPERT,4409 1/2 Melbourne Avenue,Los Angeles,90027,2016-08-15,,34.1039,-118.2856
166,0003150996-0001-3,JORGE AVILA MENDOZA,4762 S Central Avenue,Los Angeles,90011,2019-09-24,,34.0001,-118.2561
167,0003060036-0001-9,PLASTICBLACK LLC,11159 Mississippi Avenue Suite #A,Los Angeles,90025,2018-06-01,,34.0411,-118.4401
168,0003207092-0001-6,GOLDEN STATE SIGNS,1919 Vineburn Avenue #9,Los Angeles,90032,2020-08-12,,34.0657,-118.1907
169,0003205606-0001-6,ANTHONY LEE,1000 1/2 E 25Th Street,Los Angeles,90011,2020-08-03,,34.0242,-118.2649
170,0002717959-0001-6,SARAH A HAIDER,1849 Sawtelle Blvd Suite #543,Los Angeles,90025,2011-05-25,2018-07-31,34.04321,-118.445595
171,0002914405-0001-8,JUAN M GUADARRAMA,441 E 28Th Street,Los Angeles,90011,2016-06-10,2020-03-13,34.021584,-118.2659
172,0000129540-0001-8,FAMILY FARMS MARKET INC,4322 S Central Avenue,Los Angeles,90011,1978-01-01,2018-11-30,34.005318,-118.25648
173,0002475471-0001-3,CUTRONA AND LEE LLC,3716 Tracy Street,Los Angeles,90027,2008-04-01,,34.1044,-118.2738
174,0002668054-0001-3,FROME CO,1818 Sawtelle Blvd,Los Angeles,90025,2013-03-11,2019-12-31,34.043583,-118.44591
175,0003024143-0001-1,MAYDEN ANTHONY HUME,1302 S Saltair Avenue #2,Los Angeles,90025,2018-01-14,,34.04367,-118.464615
176,0003144087-0001-3,NPGD LLC,2233 Lyric Avenue,Los Angeles,90027,2019-01-01,,34.1015,-118.2742
177,0002811977-0001-6,CALI RL INVESTMENT LLC,11755 Wilshire Blvd Floor #15,Los Angeles,90025,2014-09-26,2018-12-31,34.048534,-118.46201
178,0002779862-0001-2,"BE NATURAL, LLC",3726 Tracy Street,Los Angeles,90027,2012-02-26,,34.1046,-118.2743
179,0002776743-0001-0,ALLSTAR COFFEE SERVICE INC,3322 Dorchester Avenue,Los Angeles,90032,2012-10-01,,34.0842,-118.1643
180,0002236085-0001-3,GREEN AID RECOVERY GROUP INC,5359 Valley Blvd,Los Angeles,90032,2007-03-01,,34.0753,-118.1666
181,0003144021-0001-4,OUR BROKEN PLACE PRODUCTIONS,2057 Dracena Drive #208,Los Angeles,90027,2019-06-01,,34.1094,-118.2906
182,0002084810-0001-7,JUVENCIO TORRES GONZALEZ,721 E 53Rd Street,Los Angeles,90011,2003-07-01,,33.9941,-118.2624
183,0002886389-0001-1,PASSERINE,2410 Hyperion Avenue,Los Angeles,90027,2015-05-01,,34.1029,-118.2728
184,0002690790-0001-8,MAR VISTA LAW INC,10683 Santa Monica Blvd,Los Angeles,90025,2012-10-17,,34.0531,-118.4313
185,0003092483-0001-0,ROSA ERAZO,1215 E 20Th Street,Los Angeles,90011,2019-01-03,,34.0246,-118.2525
186,0002882437-0001-2,"EL DORADO OAKS, LLC",1752 N Kingsley Drive,Los Angeles,90027,2015-11-24,,34.1033,-118.3031
187,0003085844-0001-8,KAREN S MAKOFF PHD CLINICAL PSYCHOLOGIST PC,12304 Santa Monica Blvd Suite #203,Los Angeles,90025,2018-10-19,,34.0391,-118.4654
188,0003144053-0001-4,AVONIA LLC,4402 Price Street,Los Angeles,90027,2018-08-24,,34.1085,-118.2853
189,0003204717-0001-5,"AYUS & CO, INC",1511 N Kenmore Avenue,Los Angeles,90027,2020-07-28,,34.0986,-118.2976
190,0002965418-0001-4,PRECISE REAL ESTATE SOLUTIONS INC,11601 Wilshire Blvd Suite #500,Los Angeles,90025,2014-01-01,2018-12-31,34.050735,-118.4593
191,0000662332-0003-5,GUIRAGOS S MINASSIAN,5000 W Sunset Blvd #640,Los Angeles,90027,1989-10-09,,34.0981,-118.2983
192,0003040003-0001-1,"FAMILY STYLE KITCHEN 4, LLC",5173 W Sunset Blvd,Los Angeles,90027,2018-03-01,2019-12-31,34.098125,-118.30261
193,0003129857-0001-1,HUMBLE BEE GROUP,111 E 32Nd Street,Los Angeles,90011,2019-01-02,,34.0202,-118.2712
194,0003205584-0001-8,CRISTIAN MERCADO PRODUCTIONS LLC,5409 Carlton Way Apt #313,Los Angeles,90027,2019-04-18,,34.1008,-118.3074
195,0003190332-0001-0,MIRYAM RUVALCABA,1019 E 43Rd Street,Los Angeles,90011,2017-01-01,,34.006,-118.2578
